Data Temperatura
2024-04-01 23.51
2024-04-02 23.52
2024-04-03 23.53
2024-04-04 23.54
2024-04-05 23.55
2024-04-06 23.56
2024-04-07 23.57
2024-04-08 23.58
2024-04-09 25.34
2024-04-10 18.47
2024-04-11 29.15
2024-04-12 27.73
2024-04-13 16.12
2024-04-14 22.86
2024-04-15 21.54
2024-04-16 19.47
2024-04-17 26.34
2024-04-18 13.15
2024-04-19 24.42
2024-04-20 20.63
2024-04-21 28.75
2024-04-22 26.88
2024-04-23 25.01
2024-04-24 29.64
2024-04-25 21.39
2024-04-26 18.77
2024-04-27 27.89
2024-04-28 23.90
2024-04-29 26.97
2024-04-30 29.99
